id,text,dehumanization_pred,dehumanization_gold
fas_0924998c49e77c7fdf61230e4e390257,مشروطه خودش واژه عربیه پادشاهی پارلمانیه  ، دگ چرا سختش میکنی ، نمونه‌ش انگلیس کثیف,0,1
fas_1a1d215b3bb6b67417b851bc5085a1bd,رفراندوم برگذار کنه، یا مثلا حجاب رو کلا آزاد کنه، یا هرچیزی که با اصل ج.ا در تضاد باشه. آمریکا و اسرائیل همین الان بازی رو بردن. نتیجه‌ی مذاکره براشون مهم نیست، پس چرا از توش یه برد تمام عیار نسازن؟ یه بردی که اگر ج.ا یا میپذیره و خار و خفیف و اخته میشه، یا باید گورشو گم کنه و بره,0,1
fas_2120d1e0bf6765fea7fc8f6d9d6fd699,واقعا توییتر خیلی جای سمیه به اسم آزادی بیان هر کی خیلی راحت ذات کثیفشو نشون میده,0,1
fas_217a84098008b22404e66a53f11947a1,غیرتتون با تن فروشیه دختران و زنان ،بدلیل فقر و نداری در مشهد و کشورهای خلیج فارس تکونتون نمیده؟لطفا شعر نگین,0,1
fas_3528f41d94dbbcefea6f5048747769b2,آتنی ها واقعاً حق داشتند به بقیه بربر بگویند. قرعه کشی بهتر از وکالت دادن است. کنترلِ شدنِ شهروندان توسطِ یک الیگارشیِ فاسد محصولِ نهادِ وکالت است.  انباشتِ قدرتِ سیاسی محصولِ وکالت است. قرعه کشی فرایندِ دموکراسی را غیرقابلِ کنترل توسطِ یک الیگارشیِ فاسد می کند.,0,1
fas_38e99d2490daff1eff88217e22389abc,کوشکی بیشرف امشب در مناظره با پزشکیان میگفت گشت ارشاد چندین ساله نداریم. خیلی بی شرفه این مردک نجس,0,1
fas_39831c6ced66be91d4ee8b7f73bf3bc2,آدم دورش خلوت میشه اگه بدون سانسور حرفاشو بزنه ولی در عوض فقط آدم حسابی دورت میمونه,0,1
fas_499f341a37bb3df3e8c40f0e3dbe0e20,خانمه داره میگه لیلا گفته طلا گرون شده سه تایی مهریه هامونو بذاریم اجرا !! عجب کثافتایی,0,1
fas_51bcd5f8f6777b65d7ac71b01e4b11ee,وقتی ب دانشجو مثلا نخبه (پخمه) رو میدین نتیجش میشه این. حداقل اخراج باید عواقب خوبی باشه برای این جماعت.,0,1
fas_534072b88215ecd18716abd5acc3e0ec,تو خری یا خودتو زدی خریت ،،دانش خودش ترور را به عهده گرفته,0,1
fas_58c9e9fb5e6ab5343c0cc83526fdc3f1,ناصر محمدخانی را اعدام کنید ✊🏼,0,1
fas_780ea81b15da91cfa90dd967defad03e,دانشجو اگر شخصیت علمی داره چرا با بد دهنی و الفاظ ناپسندانه و هتک حرمت ، هرزگیشو ثابت کنه .,0,1
fas_793a429f8bd99786d93a0b037bf24fb2,آره خمینی هم میخواست برجام امضا نشه که گفت بکشیدش,0,1
fas_81c9a27655411152ba1051f8812c002d,این چرا انقدر داغونه!!!؟ مگه تو دستگاه پادشاه هم شکنجه و اعترافِ اجباری هست؟؟؟ مگه نمیگن تو غرب آزادی بیان هست؟؟؟؟,0,1
fas_82ec3df84242decb698aa870616529a2,پارک دانشجو پر معتاد و ترنس یا پیرمرد ما ادم عادی ندیدیم😔,0,1
fas_860935652c7788d014e480d972338816,وسط جنگ و صیانت و هالک بازیاتون اصلا حواستون به شبکه اجتماعی ترامپ Trust Social هست؟!    الحق که این روسها خیلی حیله‌گر و مارمولکن.,0,1
fas_8635c42093bbe77e171f7511dfe3c03e,مطمئنم دارن یه ماله‌ای میکشن و میگن اصلا روش از پا درآوردن آخوند همینه. اینا دلیلشون برای عاشق ترامپ بودن هیچ ربطی به آخوند و آزادی بیان و فلان نداشت و نداره.,0,1
fas_883883676feabe2ce7a8546e58fc88c0,قربون دهنت.  مجاهد کورکور رو اعدام کردن، یک زن رو به خاطر قاچاق مواد مخدر اعدام کردن در حالیکه واضح بود بی‌گناه. کلا تو سال ٢٠٢۴ مثل برگ درخت آدما رو انداختن، ندیدم اینجا کسی چیزی بگه. الان یادشون افتاده ایرانی هم وجود داره.,0,1
fas_8efe82d5afe7511fec5331628ccdd18a,برو آمریکا ببین چوب تو آستینت میکنند یا نه بعدش دوگانه نباش با حجاب بی حجاب همه ناموس کشورتند,0,1
fas_97614af0d8f6d06b9061c2255aced881,با گشت ارشاد موافق نیستم اما کار اینا خشونت علیه زنان با گستاخی تمامه!,0,1
fas_988d07bcbd27b2ff4fe19fdfc34139f6,غلط کردن. اگر من مامور گشت ارشاد ببینم که دختری را گرفته، میرم پدرشو درمیارم,0,1
fas_98fb5fa5b2667de8994ca1e30f3f925c,عزیزم نیازی به گشت ارشاد نیست توی  شهرتون:)) انقدر مردها  کرمانشاه هیز هستن که آدم مجبور میشه لباس پوشیده بپوشه :)),0,1
fas_9d9483d613bf8b73dbed9cdd2c554489,الان فرزندآوری اونقدر دغدغه‌شونه بعید نیست عکس آلت و نحوه تولید مثل رو هم با همین روش‌های احمقانه نشون بدن,0,1
fas_a28351a3248b171bb43bdb621a459097,مشکل از فقط گشت ارشاد نیست که میزنید کثافت گشت ارشادو جمع کنید؛ امیرحسینم به خاطر گشت کشته شد؟,0,1
fas_a46b16362d57a8fc36ef95573b380c67,اگه یک کشورو میدادن دست من همه ی ثروتمندان رو اعدام میکردم هر کس که شیعه نبود رو اعدام میکردم فرصت میدادم در راه درست قرار بگیرن بی حجاب ها اعدام میکردم بگونه ای بعد از اعدام ثروتمندان کار ها رو بین ملت تقسیم میکردم بعدش دزدی رو اعدام میکردم کوچکترین فساد مسئولین رو هم که اعدام میکردم…,0,1
fas_a9ada1ff9d20c505007050acac0546ba,باتوم و کتک مفصل تو ون گشت ارشاد و اینا رو توییت کردن بزرگوار,0,1
fas_abf9acceccdaeba363bb24c9ce304a43,استقلال که تعریفش مشخصه دیگه زن,0,1
fas_ad3915eb7d5a3ad22146dc8b49c53da0,اخه توی ساندیسی چه گوهی تو زندگیت شدی که ما شدیم دانشجو نما,0,1
fas_afd689ac553fe211cfdfdffffbb6c318,مذهبی های معمولی نه ولی عرزشیا و چپ ها و آخوندا باید سرکوب شن چون علنا دشمن ایران و ایرانی ان  آزادی بیان به نظر من مال کسیه که داره انتقاد می‌کنه و دنبال اصلاحه ، نه مال کسی که کلا می‌خواد سر به تن کشور و حاکمش و مردمش نباشه  الان به طور مثال من مجازم به پدر و مادر خدابیامرز تو توهین کنم؟!,0,1
fas_c82cfed76200389017ee5320c5e063cd,شل حجاب کافر نیست ولی منکر حکم حجاب کافره,0,1
fas_d02e9acb4af0e567b90c5357cafba20a,شما در مورد شعور مردم چی فکر می کردید که فاجعه برجام را فتح الفتوح جا می زدید؟؟,0,1
fas_d6bb88801bbffdd4be6088d37c7b8648,تجریش به بالا دیگه چیزی نمیمونه که میگی به پایین خراب شده😶,0,1
fas_dd99f1a501b4346f38ba162b4eb95305,بشین تا اعدامش کنن😏😏😏 مگه سلطان سکه و سلطان قیر رو اعدام کردن؟!مگه شهرام جزایری و بابک زنجانی و متهم چای دبش و کاظم صدیقی و سردار حاجی زاده رو اعدام کردن؟!مگه یاسین رامین رو اعدام کردن؟!تازه میارنشون تلویزیون باهاشون مصاحبه هم می‌کنن!,0,1
fas_e08c6d47a212ba3fa662a88ff1659d3e,حجاب سمبل دوران برده‌داریست. زمانیکه زنان برده‌ی مردان بودند. حجاب را باید با آزادی بیان و نقد سنت‌های کهنه، منسوخ کرد.,0,1
fas_e0abe12357bbd97b0e42298f083858f3,به اموال عمومی آسیب نزنید ون های گشت ارشاد اموال عمومی محسوب نمی شه  اونا رو با کارکنانش آتیش بزنید,0,1
fas_e27478d1162483fa56d05e22cafe6812,معلومه خودشون نمیرن، مگه سیاستمدارا انگلیس میذارن؟ یه ترامپ خاست کاری کنه دیدی چه سیرکی را انداختن تو کنگره، بقیه‌هم عرعر,0,1
fas_e2d4be2337bb6dd609749127206f3869,نه بابا ترسناک بود، خواننده زن با حجاب کامل و لباس سنتی,0,1
fas_e2eb5bda38057c54d2cc6310d719e18f,دکتر ی جوری تحویلمون گرفته که میخام دفعه بعد رفتم ی گونی پسته ببرم براش.,0,1
fas_e3a5dcb9f486f50446ae12c15d12b070,گه توقبر همتون با برجام تخمیتون که عمرمون تلف شد,0,1
fas_f4869e7677a2710fe3adaf24342098d2,بی وطن تو دیگه حرف از وطن نزن وطن فروش سلبریتی دیوث وطن فروش,0,1
fas_ffbcb716b38ddadca38cd37306942e81,ای وای نه! طبق تجربه شخصی میگم اگه بد بشه، حجاب بدترش می‌کنه. من یه مدت شبیه کلم بروکلی بزرگی بودم که سلیفون کشیدن سرش.  😭🤦🏻‍♀️,0,1
